PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
Tracy McGrady,4th,39.4,0.564,15,32.6,5,14.6,9.5,31.01,452,15.1,32.1,0,0,0,0,0,11.1,24.2,829,0.481,1.33,0.505,7.7,9.7,576,0.793,2.3,6,173,0.386,411,5.5,6.7,2.11,124,1.65,2.01,0.79,0,0,0,0,19,1
Shaquille O'Neal,5th,37.8,0.602,10.7,27.8,11,21.6,16.5,29.43,356.2,11.9,27.5,0,0,0,0,0,10.4,18.1,695,0.574,1.52,0.574,6.7,10.8,451,0.622,0,0,0,0,0,0,0,0,0,0,0,0,159,2.37,3.01,0.69,46,0
Kobe Bryant,3rd,41.5,0.55,16,31.1,3,15.3,9.3,27.07,420.6,14,30,1.3,5.6,564,6.9,8,10.6,23.5,868,0.465,1.28,0.483,7.3,8.7,601,0.843,1.5,4,124,0.383,481,5.9,6.8,1.67,181,2.21,2.55,0.83,0,0,0,0,23,5
Kevin Garnett,2nd,40.5,0.553,20.4,25,9,28.5,18.8,26.46,370.8,12.4,23,3,10.5,1102,13.4,15.9,9.1,18.1,743,0.513,1.27,0.508,4.6,6.1,377,0.751,0,0,0,0,495,6,7.2,2.16,113,1.38,1.63,0.57,129,1.57,1.86,0.65,68,6
Tim Duncan,1st,39.3,0.564,14.1,25.7,10,27.3,19,26.46,355,11.8,23.3,3.2,9.7,1043,12.9,15.7,8.8,17.2,714,0.517,1.35,0.515,5.6,7.8,450,0.71,0,0,0,0,316,3.9,4.8,1.27,0,0,0,0,237,2.93,3.58,1.03,58,1
Dirk Nowitzki,0,39,0.581,11.3,24.8,3,25.1,14,25.94,336,11.2,25.1,1,8.9,791,9.9,12.2,8.6,18.6,690,0.493,1.35,0.513,6,6.9,483,0.881,1.9,5,148,0.379,0,0,0,0,111,1.39,1.71,0.54,82,1.03,1.26,0.4,41,0
Steve Nash,0,33.1,0.576,29.1,24,3,7,4.8,23.51,253.1,8.4,17.7,0,0,0,0,0,6.3,13.6,518,0.482,1.31,0.515,3.8,4.1,308,0.909,1.4,3,111,0.413,598,7.3,10.6,3.11,0,0,0,0,0,0,0,0,19,0
Paul Pierce,0,39.2,0.532,13.6,30.1,4,17.7,10.6,23.49,300,10,25.9,1.3,6,578,7.3,9,8.4,20.2,663,0.454,1.29,0.454,7.6,9.5,604,0.802,1.5,5,118,0.302,349,4.4,5.4,1.21,139,1.76,2.16,0.61,0,0,0,0,20,1
Sam Cassell,0,34.6,0.565,22.7,25.2,2,12.4,7.4,23.08,243.4,8.1,19.7,0,0,0,0,0,7,14.9,546,0.487,1.32,0.495,4.9,5.7,385,0.861,0,0,0,0,450,5.8,8,2.54,0,0,0,0,0,0,0,0,0,0
Jason Kidd,0,37.4,0.526,29.3,26,4,15.1,9.6,22.62,259.3,8.6,18.7,0,0,0,0,0,6.4,15.6,515,0.445,1.2,0.465,4.2,5,339,0.841,1.6,5,126,0.341,711,8.9,11.4,2.4,179,2.24,2.87,1.41,0,0,0,0,31,4
Vince Carter,0,34.2,0.532,13.7,26.3,4,10.4,7.3,22.48,131.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Allen,0,37.9,0.565,16.3,25.4,3.8,11.8,7.8,22.19,251.1,8.4,22.5,0,0,0,0,0,7.9,17.9,598,0.478,1.26,0.512,4.2,4.5,316,0.916,2.6,7,201,0.377,334,4.4,5.6,1.69,103,1.36,1.72,0.47,0,0,0,0,0,0
Allen Iverson,0,42.5,0.5,15.1,30.9,2,9.5,5.8,22.14,302.8,10.1,27.6,0,0,0,0,0,9.8,23.7,804,0.44,1.17,0.436,7,9,570,0.774,0,0,0,0,454,5.5,6.3,1.59,225,2.74,3.1,1.51,0,0,0,0,0,0
Gary Payton,0,40.1,0.504,26.8,24.2,2.9,9.4,6.1,21.94,262,8.7,20.4,0,0,0,0,0,8.3,18.3,665,0.476,1.11,0.472,0,0,0,0,0,0,0,0,663,8.3,9.9,3.55,133,1.66,1.99,0.73,0,0,0,0,28,0
Karl Malone,0,36.2,0.534,17.6,26.4,5,20.5,13,21.71,223.8,7.5,20.6,1.4,6.4,628,7.8,10.3,7.3,15.9,595,0.464,1.29,0.463,5.9,7.7,474,0.763,0,0,0,0,379,4.7,6.2,1.8,136,1.68,2.22,0.67,0,0,0,0,21,0
Chris Webber,0,39.1,0.485,16.8,28,7,21.1,14.4,21.48,212.9,7.1,23,0,0,0,0,0,9.9,21.4,661,0.465,1.08,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3
Michael Redd,0,28.2,0.59,9.4,20.3,5,13.9,9.4,21.33,187.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,5,182,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine O'Neal,0,37.2,0.539,8.5,23.8,8,22.8,15.6,21.16,206.5,6.9,20.8,2.6,7.7,796,10.3,13.3,7.9,16.4,610,0.487,1.27,0.487,4.8,6.6,373,0.731,0,0,0,0,0,0,0,0,0,0,0,0,178,2.31,2.98,0.64,43,1
Steve Francis,0,41,0.541,21.1,25.2,6,11.5,8.7,21.12,250.6,8.4,21,0,0,0,0,0,7,16.2,571,0.453,1.3,0.468,5.9,7.3,476,0.8,0,0,0,0,502,6.2,7.3,1.68,141,1.74,2.04,0.56,0,0,0,0,0,0
Chauncey Billups,0,31.4,0.582,19.8,22.8,2,12.2,7,21.1,175.3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,4.3,4.9,318,0.878,2,5,149,0.392,287,3.9,5.9,2.14,0,0,0,0,0,0,0,0,0,0
Elton Brand,0,39.6,0.543,11.4,20.6,13,19.3,16.2,21.09,175.6,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2.55,3.09,0.77,44,1
Shawn Marion,0,41.6,0.538,10.2,21.4,7,19.4,13,21.05,240.4,8,21.2,2.5,7.1,773,9.5,11,8.2,18.1,662,0.473,1.17,0.5,0,0,0,0,1.7,4,141,0.387,0,0,0,0,185,2.28,2.63,0.89,95,1.17,1.35,0.46,38,0
Stephon Marbury,0,40,0.52,24.7,27.2,2,7.4,4.6,21.03,242.6,8.1,22.3,0,0,0,0,0,8.3,18.9,671,0.472,1.18,0.468,4.6,5.8,375,0.803,0,0,0,0,654,8.1,9.7,2.49,108,1.33,1.6,0.54,0,0,0,0,23,0
Grant Hill,0,29.1,0.568,21.2,22.9,5,23.2,14,21.02,66.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Stockton,0,27.7,0.577,39.9,20.8,3,7.7,5.4,20.68,167.7,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,7.7,13.3,3.46,137,1.67,2.89,0.74,0,0,0,0,15,0
Pau Gasol,0,36,0.57,12.7,22,7,19.9,13.7,20.66,201.6,6.7,19,2.3,6.4,720,8.8,11.7,6.9,13.6,569,0.514,1.39,0.51,5.1,6.9,416,0.736,0,0,0,0,0,0,0,0,0,0,0,0,148,1.8,2.41,0.67,32,0
Yao Ming,0,29,0.57,10.7,20.4,10,22.6,16.3,20.2,170.7,5.7,0,2.4,5.8,675,8.2,13.6,0,0,0,0,0,0,3.7,4.5,301,0.811,0,0,0,0,0,0,0,0,0,0,0,0,147,1.79,2.96,0.64,27,0
Michael Jordan,0,37,0.491,14.4,26.5,3,16.7,9.7,20.14,211.2,7,20,0,0,0,0,0,8.3,18.6,679,0.45,1.07,0.45,0,0,0,0,0,0,0,0,0,0,0,0,123,1.5,1.95,0.72,0,0,0,0,0,0
Shareef Abdur-Rahim,0,38.1,0.566,12.9,22.2,7,17.8,12.5,20.09,197.8,6.6,19.9,2.2,6.2,677,8.4,10.5,7,14.6,566,0.485,1.36,0.487,5.6,6.7,455,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
Peja Stojakovic,0,34,0.6,10.1,20.2,3,14,8.7,20.04,174.5,5.8,19.2,0,0,0,0,0,6.9,14.4,497,0.545,1.33,0.556,0,0,0,0,2.2,6,155,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Kirilenko,0,27.7,0.598,12.8,18.2,8,14.4,11.5,20.03,157.4,5.2,0,0,0,0,0,0,0,0,0,0,0,0,3.7,4.6,296,0.8,0,0,0,0,0,0,0,0,118,1.48,2.56,0.64,175,2.19,3.8,0.95,0,0
Jerry Stackhouse,0,39.2,0.528,16.3,26,3,8.5,5.6,19.81,190.9,6.4,21.5,0,0,0,0,0,0,0,0,0,0,0,6.5,7.4,455,0.878,0,0,0,0,316,4.5,5.5,1.64,0,0,0,0,0,0,0,0,0,0
Richard Hamilton,0,32.2,0.531,10.8,28.5,4,10.5,7.1,19.76,182.5,6.1,19.7,0,0,0,0,0,7,15.7,570,0.461,1.25,0.456,5.4,6.4,440,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvydas Sabonis,0,15.5,0.549,21.8,18.7,9,24.7,16.7,19.58,81,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antawn Jamison,0,39.3,0.542,7.8,22.8,7,12.5,9.5,19.49,192.2,6.4,22.2,2.4,4.7,578,7,8.6,8.4,17.9,691,0.496,1.24,0.492,4.6,5.8,375,0.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Gilbert Arenas,0,35,0.54,23.5,24.8,4,10.6,7.2,19.37,179,6,18.3,0,0,0,0,0,6.2,14.4,509,0.461,1.27,0.478,4.5,5.7,370,0.791,1.3,4,109,0.348,514,6.3,8.6,1.77,124,1.51,2.08,0.48,0,0,0,0,0,0
Zach Randolph,0,16.9,0.555,6,20.7,13,18.9,15.9,19.36,76.3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zydrunas Ilgauskas,0,30,0.516,7.5,25.5,11,17.4,14.1,19.31,158.2,5.3,17.2,3,4.6,611,7.5,12.1,6.1,13.9,495,0.443,1.24,0.441,4.9,6.3,400,0.781,0,0,0,0,0,0,0,0,0,0,0,0,152,1.88,3,0.55,20,0
Eddie Jones,0,38.1,0.551,16.5,21.6,2,12.7,7.3,19.24,116.7,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Harpring,0,32.8,0.588,9.1,21.9,9,14.8,12.2,19.05,163.2,5.4,17.6,2.4,4.2,514,6.6,9.6,6.7,13.1,521,0.529,1.34,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Mashburn,0,40.5,0.507,18.9,26.1,2,15.3,8.7,18.93,209,7,21.6,0,0,0,0,0,8.2,19.3,670,0.43,1.12,0.46,3.8,4.5,313,0.848,1.5,4,119,0.389,462,5.6,6.7,2.01,0,0,0,0,0,0,0,0,0,0
Jason Terry,0,38,0.549,28.3,22.3,1,8.6,5.2,18.92,182.2,6.1,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,160,0.371,600,7.4,9.3,2.41,126,1.56,1.96,0.72,0,0,0,0,20,1
Bobby Jackson,0,28.4,0.561,16.8,22,4,9.8,7,18.92,99.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan Houston,0,37.9,0.563,10.8,24.4,1,7.9,4.4,18.84,193.4,6.4,22.5,0,0,0,0,0,8,17.9,652,0.467,1.26,0.506,4.4,4.8,363,0.919,2.2,5,178,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Miller,0,31.1,0.579,17,17.6,9,20.2,14.9,18.8,138.9,4.6,0,2.5,5.7,603,8.3,12.8,0,0,0,0,0,0,4,4.9,292,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
Rasheed Wallace,0,36.3,0.552,10.2,21.3,5,19.6,12.3,18.44,157.1,5.2,18.1,1.5,5.9,548,7.4,9.8,7,14.8,515,0.515,1.22,0.521,0,0,0,0,1.5,4,110,0.358,0,0,0,0,0,0,0,0,77,1.04,1.38,0.35,0,0
Toni Kukoc,0,27,0.551,22.7,20.4,5,13.7,9.1,18.35,99.9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Finley,0,38.3,0.514,12.7,22,4,12.3,8.4,18.34,154.6,5.2,0,0,0,0,0,0,7.3,17.3,507,0.445,1.12,0.475,0,0,0,0,1.7,5,119,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Bibby,0,33.4,0.559,23.9,20.9,2,6.3,4.3,18.24,99.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Boykins,0,19.4,0.543,26.1,20.3,3,4.2,3.5,18.24,71.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0